bloque;cfg;config;red;ir;avg;adc;ref;bpm;diff;spo2;ratio;pi_red;pi_ir;dc_red;dc_ir;ret;disc;sat;ready;spo2_score;quality;file
03_124425;6;RED199 IR159 AVG4 ADC16384;199;159;4;16384;65.0;47.24;17.76;98.89;0.1826;0.0158;0.0867;30549.9;58553.4;59.35;40.65;0.0;NO;20.0;7.06;raw_BLOQUE_12CFG_184_20260603_124425_CFG006_3M_06_-_RED199_IR159_AVG4_ADC16384.csv
03_124425;7;RED199 IR159 AVG4 ADC8192;199;159;4;8192;70.33;50.41;19.92;98.13;0.5383;0.0315;0.0586;70795.2;128169.7;92.52;7.48;0.0;NO;53.26;21.68;raw_BLOQUE_12CFG_184_20260603_124425_CFG007_3M_07_-_RED199_IR159_AVG4_ADC8192.csv
03_124425;8;RED199 IR159 AVG1 ADC8192;199;159;1;8192;71.0;67.91;3.09;99.74;0.4057;0.0298;0.0736;69650.8;127815.8;71.89;28.11;0.0;NO;40.0;0.0;raw_BLOQUE_12CFG_184_20260603_124425_CFG008_3M_08_-_RED199_IR159_AVG1_ADC8192.csv
03_124425;9;RED199 IR159 AVG2 ADC8192;199;159;2;8192;66.67;71.29;4.62;98.72;0.1713;0.0144;0.084;73031.1;128618.0;98.46;1.54;0.0;NO;31.23;37.42;raw_BLOQUE_12CFG_184_20260603_124425_CFG009_3M_09_-_RED199_IR159_AVG2_ADC8192.csv
03_124425;10;RED159 IR159 AVG2 ADC16384;159;159;2;16384;73.33;88.45;15.12;99.91;0.3676;0.0219;0.0597;27985.5;63289.7;99.23;0.77;0.0;NO;51.61;36.64;raw_BLOQUE_12CFG_184_20260603_124425_CFG010_3M_10_-_RED159_IR159_AVG2_ADC16384.csv
03_124425;11;RED159 IR159 AVG2 ADC8192;159;159;2;8192;77.33;72.61;4.73;99.8;0.3958;0.0307;0.0776;53997.5;126203.8;97.35;2.65;0.0;NO;55.68;35.34;raw_BLOQUE_12CFG_184_20260603_124425_CFG011_3M_11_-_RED159_IR159_AVG2_ADC8192.csv
03_124425;12;RED159 IR159 AVG1 ADC16384;159;159;1;16384;72.0;71.95;0.05;99.74;0.2679;0.0194;0.0723;25872.5;62145.7;100.0;0.0;0.0;NO;40.0;20.49;raw_BLOQUE_12CFG_184_20260603_124425_CFG012_3M_12_-_RED159_IR159_AVG1_ADC16384.csv
02_ConVacio_130526;1;RED31 IR31 AVG1 ADC8192;31;31;1;8192;;74.18;;97.76;0.5578;0.0258;0.0463;12910.3;27437.4;100.0;0.0;0.0;NO;52.0;48.58;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv
02_ConVacio_130526;2;RED31 IR31 AVG1 ADC16384;31;31;1;16384;;76.34;;92.58;0.7415;0.0344;0.0464;6222.0;13511.4;99.34;0.66;0.0;NO;56.67;17.67;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv
02_ConVacio_130526;3;RED31 IR31 AVG4 ADC8192;31;31;4;8192;;77.82;;97.82;0.5545;0.0273;0.0492;12415.4;27256.9;97.19;2.81;0.0;NO;50.59;27.47;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv
02_ConVacio_130526;4;RED31 IR31 AVG4 ADC16384;31;31;4;16384;;67.78;;90.61;0.7924;0.0316;0.0399;6096.1;13503.6;100.0;0.0;0.0;NO;57.0;20.07;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv
02_ConVacio_130526;5;RED63 IR63 AVG1 ADC8192;63;63;1;8192;;82.32;;99.45;0.4427;0.0184;0.0415;25892.3;58221.7;100.0;0.0;0.0;NO;52.0;67.58;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv
02_ConVacio_130526;6;RED63 IR63 AVG1 ADC16384;63;63;1;16384;;75.74;;96.52;0.6129;0.0285;0.0465;12742.7;28834.2;97.91;2.09;0.0;NO;50.95;15.77;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv
02_ConVacio_130526;7;RED63 IR63 AVG4 ADC8192;63;63;4;8192;;67.78;;99.67;0.4173;0.0171;0.041;25706.7;58212.3;100.0;0.0;0.0;NO;52.0;30.56;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv
02_ConVacio_130526;8;RED63 IR63 AVG4 ADC16384;63;63;4;16384;;72.8;;99.29;0.4581;0.019;0.0414;12681.8;28936.5;97.19;2.81;0.0;NO;50.59;26.66;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv
02_ConVacio_130526;9;RED127 IR127 AVG1 ADC8192;127;127;1;8192;;73.57;;96.95;0.595;0.0277;0.0466;52079.4;118864.0;98.26;1.74;0.0;NO;51.13;23.38;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv
02_ConVacio_130526;10;RED127 IR127 AVG1 ADC16384;127;127;1;16384;;71.4;;99.89;0.3749;0.0165;0.0441;25779.0;58827.5;100.0;0.0;0.0;NO;52.0;24.78;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv
02_ConVacio_130526;11;RED127 IR127 AVG4 ADC8192;127;127;4;8192;;72.8;;71.32;1.134;0.1366;0.1205;51772.0;119275.2;81.53;18.47;0.0;NO;60.76;3.75;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG011_CONFIG_11_-_B7F_AVG4_ADC8192.csv
