session_id;id;base_name;modo;bloque;inicio_s;fin_s;bpm_medio_10s
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;1;0;10;78.31
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;2;10;20;76.50
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;3;20;30;74.24
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;4;30;40;76.04
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;5;40;50;72.46
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;6;50;60;71.63
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;7;60;70;76.98
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;8;70;80;76.66
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;9;80;90;75.19
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG006_3M_06_-_RED199_IR159_AVG1_ADC8192;experimento_3m;10;90;100;76.42
