session_id;id;base_name;modo;bloque;inicio_s;fin_s;bpm_medio_10s
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;1;0;10;79.82
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;2;10;20;78.39
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;3;20;30;73.47
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;4;30;40;70.65
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;5;40;50;74.64
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;6;50;60;81.68
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;7;60;70;76.97
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;8;70;80;77.81
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;9;80;90;74.21
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG008_3M_08_-_RED159_IR127_AVG1_ADC8192;experimento_3m;10;90;100;73.46
